index,target,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128
0,fawn,-0.0179579,0.02255,0.00931104,-0.0167727,0.0241437,0.00518932,0.0202327,-0.00105636,0.0333423,-0.000703504,-0.00254209,-0.0219866,0.00673956,0.0275112,-0.00303304,-0.0180865,-0.00166529,0.000426146,0.0148833,0.0175514,0.00406822,0.0377783,0.00426089,0.0174439,-0.0200094,-0.00598912,-0.0125858,-0.0192753,0.0396949,-0.00342772,-0.00948875,0.000377251,-0.0165004,0.00707256,-0.00128391,0.0193652,0.0162859,-0.0063257,-0.00569818,-0.0357378,0.0367703,0.0265808,0.0062445,0.0081131,-0.0324169,0.0274231,0.0276659,-0.00203262,0.0186143,0.0151145,0.028257,-0.0369486,-0.0210848,0.0103439,0.0122189,0.0210541,0.0338617,-0.0433684,0.0119451,-0.0156909,0.0104295,0.0279251,-0.0028639,-0.00897704,-0.00974123,0.00107411,0.0055218,0.0321913,-0.025899,-0.0106696,0.016536,0.0235866,0.0129135,-0.00677596,-0.00478638,-0.000297588,-0.0339338,0.00666498,-0.0105329,-0.0199294,0.0127604,-0.0251203,-0.00807407,-0.0198888,0.0120396,0.0156665,-0.0228074,0.00782805,0.0101974,0.0465633,-0.00526252,0.0084194,-0.0275209,0.00684753,0.00151542,-0.026074,-0.00562588,0.0337102,0.0105325,-0.0309672,-0.00602698,0.0269363,-0.00444546,-0.0127962,0.00581644,-0.00761354,0.00519888,-0.0101642,-0.0150993,-0.0255863,-0.00704235,0.0174861,0.00156581,0.0195922,-0.00452431,-0.00903236,0.00707374,0.00974026,-0.00839593,0.0070486,-0.020214,-0.0339263,-0.00665254,-0.0269223,0.00196839,-0.008309,-0.0038251,0.00524675
1,usuallyand,0.00186462,-0.000340919,0.00215152,0.00391734,0.000874751,0.00332612,-0.00137153,-0.00565465,0.000360389,0.00140534,0.00154277,0.00100613,0.000118926,0.00337553,0.00518614,0.00384933,0.00136165,0.00212196,0.0018723,-0.00442198,0.000309661,-0.000359739,-0.00214744,-0.00265264,-0.00364936,0.000963702,-0.00270912,0.00152888,-0.00201894,0.00628151,-0.0032573,0.00106296,0.000199802,0.00110708,-0.00354546,0.00255459,0.00472639,-0.00171968,0.00492306,0.00286824,0.000401924,-0.00451737,0.000656519,-0.00471315,-0.00238785,0.00139171,0.00318345,-0.00292995,0.00301604,-0.00162522,-0.00428466,0.00427525,0.00316881,-0.00122362,-0.00152271,-0.000896284,-4.75E-05,0.00474942,-0.00204005,0.00655428,-0.00457213,0.00520901,-0.0017026,0.000478275,0.00556081,0.00213308,-0.00325926,0.00473639,-0.00404682,0.000180801,-0.0028653,0.00225148,0.000731679,0.00218159,0.00403013,0.00261276,0.00585945,-0.0058731,0.000297844,-0.000425062,0.00290365,0.00182196,-0.00279243,0.00335496,-0.00354801,0.00450338,0.00283789,0.0021607,-0.00291016,-0.000918031,-0.00117854,-0.0067747,-0.00581567,0.00524436,0.00179909,-0.00289723,-0.00385853,0.00445488,-0.005469,0.00952785,0.00375974,-0.00157801,0.0033002,-0.00350615,-0.00261897,0.00247889,-0.00297643,0.00621202,-0.00123622,-0.00401498,-0.00154565,-8.17E-05,-0.00199075,-0.00285323,0.00422922,-0.00134536,-0.000168117,0.00187641,0.0001484,-0.000516639,0.00573792,-0.00108869,0.000465477,8.60E-05,-0.0020181,-0.00737291,0.00287183,-0.00142472
2,circuitri,-0.00816009,-0.00276609,-0.00345444,-0.00860064,-0.004569,0.00117357,0.000128137,-0.00592494,0.00811461,0.00865434,0.00622506,-0.00715457,-0.00548735,0.014951,0.00218515,0.00358399,0.00072993,-0.00221807,-0.00548291,0.00737798,-0.00142512,0.00523036,0.00663114,-0.00169781,0.00895041,-0.00797244,-0.0038271,-0.00317048,-0.00679821,0.00549005,-0.00739929,0.00275203,-0.0049682,-0.00114346,0.00357908,-0.0011165,-0.00925507,0.00269442,0.00779256,-0.00410292,0.0052848,-0.00342808,-0.00724049,0.00509273,0.0082796,0.00174132,-0.00921454,0.0127679,-0.00810234,-0.00528178,-0.0010614,0.00073452,-0.00321952,-0.00423857,-0.000112667,0.0131894,0.00366027,-0.00813045,0.000692213,-0.0033042,-0.0124677,0.00656343,0.00523025,4.67E-06,0.00736523,0.0155792,0.00380426,0.00390962,-0.0119442,-0.000520959,0.000307957,0.00618008,-0.00482156,-0.00346343,-0.0161369,-0.00457204,-0.00197903,0.00387705,-0.00544037,-0.00717752,0.0141526,0.00330832,-0.000276882,-0.00775907,0.00454973,-0.00262438,-0.00747066,0.00480157,-0.00224411,0.00381201,0.00382164,0.00322933,-0.0124307,0.00415043,-0.00196569,-0.0084508,-0.00239301,0.00326197,0.000164893,0.0113428,-0.00674872,-0.00901147,-0.00728807,0.00131468,0.00155896,0.00864316,-0.000648474,0.000306231,-0.00061177,-0.0052649,-0.0138664,-0.00463112,0.00446649,0.0110604,-0.00298335,-0.0064972,-0.0025647,0.00133449,-0.0078611,0.00372734,-0.00880427,-0.00713554,-0.00290032,0.00102284,0.0181605,-0.00633129,-0.0150024,-0.0077852
3,mustachio,0.0173009,-0.0083594,0.00988714,0.00489427,0.00606497,-0.00281612,0.00072503,-0.00634772,-0.0121541,-0.0151086,-0.00156626,0.00188112,0.00548043,-0.00830418,0.00019097,0.00816156,0.000166012,0.0040165,-0.00485306,-0.000288929,0.00212288,-0.00524904,-0.00651341,-0.00254433,0.00753306,0.0040926,-0.00100557,0.0080721,-0.00264285,0.00207238,-0.0031674,0.0116717,0.00273262,-0.0119159,-0.000361731,0.0022483,-0.00329918,0.00924994,0.00229013,0.00413965,-0.0111108,-0.00630999,-8.99E-05,-0.00130709,-0.00087099,-0.021869,-0.00812136,-0.00921769,-0.00603003,0.000913133,-0.00221097,0.00789442,0.00671779,-0.000233287,-0.00728885,-0.00921379,-0.0101758,0.00317677,-0.00936104,0.00328785,0.00477138,0.000944226,0.00272627,-0.000899527,-0.00421147,-0.00352308,-0.00262953,-0.0127726,0.00412002,-0.0037344,-0.00516441,-0.00601861,0.00979256,0.00163487,0.00102917,0.00460041,-0.000843215,-0.00122115,-0.00364895,0.00177195,-0.0165387,0.00661791,0.000593239,0.00384152,-0.00725347,0.00437342,0.00200837,0.00325306,-0.000542434,-0.0120762,-0.0192085,0.00176562,-5.96E-05,0.00370554,-0.00893974,0.00327642,0.000783784,0.00175966,-0.00115574,0.00880559,-0.00224444,0.000817348,0.0087734,0.00874738,0.0002562,-0.00644539,-0.00679392,0.00740541,0.00245064,0.00527979,-0.0050739,0.00373464,0.0095752,-0.0120609,-0.00571055,0.0020587,0.00694599,0.00463479,0.0055012,-0.001101,0.0115257,0.0119383,-0.000217318,0.0193666,0.0040008,0.00371556,-0.000153482,0.00359385
4,woodi,0.012635,-0.0195637,0.00540636,-0.000463448,0.0151036,-0.00303477,0.0198418,0.00669593,0.00917492,-0.00163087,-0.0161433,0.00677507,-0.00998296,0.0028928,-0.00180173,0.00997035,-0.00861672,0.0148992,-0.00298543,-0.0241365,-0.0156702,0.00718656,-0.0101224,0.00601088,-0.0136488,0.00652456,0.00193136,-0.00349997,-0.00958873,-0.0157141,0.00408075,0.0057034,0.00197551,-0.0368345,0.0138679,0.00302058,0.0258444,0.0117766,0.00520968,-0.00250429,-0.00249588,-0.000941258,0.0183928,-0.0122378,-0.0103271,-0.0137538,0.0237071,-0.0219192,0.00543416,-0.00273319,-0.016512,0.0137938,-0.0151385,0.0274003,0.00571838,-0.00475948,-9.26E-05,-0.00691809,-0.0205188,-0.0109629,0.0158283,0.00516808,-0.0131906,-3.35E-05,0.0107096,-0.00704083,0.000274709,0.00559912,0.0163103,-0.0290245,0.0226995,-0.00860014,0.0253968,-0.0171695,0.017806,-0.00194013,-0.00943181,-0.00233308,-0.0161193,0.0110335,-0.016419,0.00247294,-0.00347319,-0.0156711,-0.00602635,0.00271233,0.00248562,-0.000924588,0.0277209,0.00736225,-0.0205015,0.00765065,-0.0206265,-0.00360548,-0.00738554,0.00714849,-0.0195437,0.0188657,-0.00874751,0.00149653,-0.0192355,0.0149179,0.00754587,-0.00911621,0.0103863,-0.00817591,0.00143019,-0.00272695,-0.0140938,0.0101751,0.00283031,-0.00623446,0.00308929,-0.00604812,-0.0118107,0.000565355,0.0133213,-0.002154,0.00950046,-0.0171275,0.017012,0.00139602,0.0147783,0.0245956,0.00982742,-0.0114722,0.00317735,0.0105364
5,sonja,0.00404443,-0.0107774,0.00533242,-0.0143115,0.00166888,-0.00123512,0.00616967,-0.00371073,0.00456199,0.0052475,-0.00277346,-0.00873865,-0.00480937,0.00916553,0.00297247,0.00717771,0.000179322,0.00302385,-0.00237761,-0.00117069,0.00222441,0.000153071,-0.0096156,-0.0100236,0.00295352,-0.00217005,-0.0184306,0.000660041,-0.000977725,-0.0042557,0.00190779,0.0106545,0.00658207,0.00134622,0.0071276,0.00208295,0.00468473,0.0119607,0.00517076,-0.00265792,0.00622236,-0.00934851,0.0170988,0.00180349,-0.00936335,-0.00601975,-0.000415101,6.98E-05,0.00471203,0.016407,0.00574752,0.00728009,-0.00219936,0.00122249,-0.00672178,-0.00178628,0.000790684,-0.00726349,-0.00500049,0.00575081,-0.00067081,-0.0010162,0.00634751,0.000206773,0.00553621,0.000143646,-0.00239177,0.00494454,-0.00849727,-0.00519855,-0.00110794,0.000440773,0.00881418,-0.00513074,0.00509239,0.00827378,0.00709056,-0.00263978,-0.0189293,0.00717513,0.003445,-0.00660592,-0.00811558,-0.00998189,-0.00591146,-0.000972515,0.00289507,0.00646949,-0.00479883,-0.000201498,0.00268829,0.000322254,-0.00627174,0.00396913,-0.000109275,-0.00466186,-0.00746866,-0.000600178,-0.00124018,0.00558719,9.46E-05,-0.00273106,-0.00681443,0.00275441,0.00222719,-0.00677763,-0.00192345,0.00306983,-0.000650325,-2.25E-05,-0.0114266,-0.00342365,0.00640369,-0.00654209,-0.00503314,-0.0015095,0.00791965,0.00565541,-0.00871121,0.00576287,-0.00176503,0.00228612,-0.00331186,0.00588971,0.0079356,0.00333441,0.000935121,0.00660021
6,spideri,-0.0203289,0.0362531,-0.0356412,-0.0456291,-0.00794447,0.0174803,0.0359587,0.0182566,0.0539876,0.0549385,-0.000464554,-0.0176397,-0.0265992,0.0427311,-0.0230821,-0.0593993,-0.0215829,-0.0211059,0.00523584,0.0244157,-0.0251988,0.0170841,0.0302284,0.0107402,-0.0100219,0.00932708,-0.0214024,-0.0119282,0.0337451,-0.0063614,-0.0272064,-0.00652535,-0.026738,0.0288419,0.00958605,0.0409426,0.0274119,-0.0260402,-0.00515054,-0.041642,0.0501518,0.0151031,0.0272537,0.00600254,-0.0430225,0.0520891,0.0607502,-0.00801471,0.0378401,0.0316428,0.0172305,-0.0575643,-0.0369473,0.0022841,0.0229574,0.0363214,0.0239219,-0.0338008,0.0452041,-0.00113723,-0.0109519,0.0013042,0.00522853,-0.00527377,-0.00262936,-0.0128436,0.000591961,0.0352349,-0.0589908,0.00990957,0.0255141,-0.00576834,-0.0136157,-0.0129476,-0.037206,0.0136451,-0.0329719,0.0114283,0.0198769,-0.0153,0.0592249,-0.0113495,0.000967295,-0.0130026,0.00953426,0.0198153,-0.0196025,0.0412187,0.037581,0.0477777,0.0139279,0.00047559,-0.0408207,0.00545396,0.0244245,-0.0482154,-0.0247735,0.00359967,-0.0187889,-0.0459877,-0.00143656,-0.0119315,-0.0264014,-0.0354576,0.00461183,-0.0257737,0.0356728,-0.0360413,-0.012233,-0.00406742,-0.0249353,0.00720592,0.0190365,0.0321561,-0.0168958,0.000260438,0.00638585,0.00734449,-0.0601222,0.0491769,-0.0507978,-0.0339441,0.0102282,-0.0633412,0.00531921,-0.0291119,-0.0155197,-0.0177654
7,askew,-0.0330041,0.0409155,-0.030846,-0.0449626,0.00546542,0.0515203,0.0684767,-0.00917886,0.0820273,0.0658947,0.00335761,-0.0301342,-0.00466941,0.0621555,-0.0165964,-0.0650238,-0.0138362,-0.0963233,0.0249848,0.0286167,-0.00755007,0.0245453,0.0670197,0.0218992,-0.0309936,-0.028855,-0.0491173,-0.0257159,0.0601603,-0.000869436,-0.00554923,0.007541,-0.034095,0.0166355,-0.0111495,0.0445739,-0.006632,0.00455096,0.0417723,-0.0727964,0.0788729,0.00948774,0.0271968,-0.00461033,-0.0517199,0.0400541,0.0543416,0.000456085,0.0417926,0.0994556,0.0308638,-0.040115,-0.00488191,0.00668373,0.034171,0.0492388,0.0177843,-0.0672207,0.0331985,-0.0105978,-0.0518227,0.0317331,-0.0310279,-0.0337698,-0.0328301,-0.00695237,-0.0445847,0.063452,-0.0598387,-0.0256677,0.00580959,0.0680137,0.00538952,0.0227653,-0.053836,0.0322691,-0.0317964,0.0205486,-0.00737807,-0.00284877,0.0688526,-0.0296617,-0.00325397,-0.0258255,0.0413183,0.0079182,-0.0465885,0.0235742,0.0471618,-0.00221681,0.047746,-0.03579,-0.0830467,-0.0153315,-0.00472837,-0.0811225,-0.0356737,0.0634539,-0.0510918,-0.0277934,-0.0240186,-0.0268616,-0.0504928,-0.0542494,-0.00484027,-0.0225489,0.0364315,-0.0237615,-0.0380664,-0.0585058,-0.0884962,0.0411596,0.0858873,0.0215686,-0.0126659,-0.0494378,-0.0086919,-0.00450928,-0.0917665,0.0752667,-0.0389095,-0.0687308,-0.00383451,-0.0773794,0.0219251,-0.0264475,-0.0368046,0.00371945
8,suzani,0.00226814,-0.000537426,-0.00465157,-0.0111573,0.000474871,0.00673688,0.00905026,-0.00724322,0.0114041,0.000115832,-0.00356555,0.00173376,-0.000468218,0.0110789,-0.00210086,-0.00461377,-0.00133132,0.00116038,0.00224445,7.91E-05,-0.00541439,0.00473043,0.00385836,0.00747841,-0.00392561,-0.000495692,0.00353248,-0.0136704,7.25E-05,-0.00207922,-0.00313953,-0.0027919,0.00949031,0.0012845,0.0044276,0.00648952,0.00282242,-0.00211046,0.00601997,-0.0101673,0.0152122,0.00253042,0.00620165,0.000491528,-0.00201186,-0.0015471,0.00517149,-0.00770969,0.00388467,0.0120456,0.000792231,-0.00311593,-0.000284856,0.00617343,0.00121267,0.00456096,0.00638181,-0.0112663,-0.000759805,-0.000247242,0.00418922,-0.00120286,0.000609744,-0.00391292,0.00399635,-0.000109805,0.00324116,0.0071134,-0.00435635,-0.00406953,0.00422812,0.00293309,0.000403202,0.00370839,-0.00646047,0.0030443,-0.00658085,0.0017523,-0.00246149,0.00213292,0.0075227,-0.00687733,-0.00534958,-0.00232563,0.00622933,-0.00260882,-0.00148361,-0.000812915,0.00530936,0.00163004,7.42E-05,-0.00374777,-0.00982182,0.00165955,0.0040125,-0.00260495,-0.00193518,0.0106932,-0.00567768,-0.00101095,0.000144103,0.000119918,-0.000183043,-0.00548076,-0.00317639,-0.00745124,-0.00318605,0.00102948,-0.00195825,0.00573542,-0.0121205,0.000378846,0.000555463,0.00395989,-0.00304937,-0.000683542,-0.0012365,0.00872614,-0.00206249,0.00715105,-0.00675058,-0.011064,0.000650585,-0.00263051,0.000474053,0.00360488,-0.00323006,0.00179302
